印象	1231
好几下	21033
梁启超	16567
费尽心机	28546
二杆子	36302
缺员	29762
好景不长	17277
母亲	151
阅群书	45763
弱卒	41043
老干	45064
终悟	24838
流油	31013
弯才	34040
进攻性	14463
人朝	21110
汉军	2969
黄油	37202
但三党	41565
呼啦啦	14987
非同寻常	25191
推立	21865
开道	7702
死成	33270
裁定	43411
掌权	8332
夜宵	12901
专管	29957
两手	13196
富庶	3350
小弟	19076
成色	35743
蒋应奎	30824
打鼓	13258
黔首	22280
熟习	25487
军国	29672
隔三差五	19979
宫之中	23689
菜鸟	41137
遛弯	29858
一人之下	40086
书生	1706
出说	10411
仔细认真	30667
之耗	42728
恶气	7824
言志	39769
发言者	20738
有书悉	21337
愚弄	39620
直性子	30913
痰	5590
全骂	35966
边远	35799
听过	30561
商谈	24278
住址	26652
率意	2951
伯仁	10728
张嘴	22371
防务	21284
轰动一时	39488
垂垂老矣	10190
宵禁	26145
还出	45268
大石	25440
去靖	13737
拷打	10102
宪宗	20881
挤	1875
当移	10138
罪人	6078
他收	22617
心理障碍	41558
不同凡响	25897
致信	44310
一星半点	36272
不忠	33653
金银财宝	5700
施耐庵	4906
以天	2213
闲山	37075
三十六计	37490
不太高	36871
旧有	32455
孟冲兄	35503
牌	36326
大逆不道	12899
盐	2129
下手	1822
兴献后	28390
神经病	28987
乐嘛	27808
道路	971
翱	23541
青菜	34199
仔细观察	3370
够呛	1817
车营	42843
代	12867
焦头烂额	18316
唐浦	37048
马	1314
甘地	24247
作出反应	35063
饱经忧患	24998
公式	36842
赏	22189
五级	45590
抄录	29086
描写	80
一捧	40131
承受力	24291
谎	13434
原先	1649
他进	25088
祁	45270
亲子鉴定	24034
私分	9825
该升	29724
三艘	37051
殷勤	43300
候选者	38239
饲料	29194
一万八千	36876
养大后	20132
相告	30076
合称	24818
农业	17520
先率	21465
改名	7931
印度	16816
王言要	29676
整体素质	21685
做礼拜	36916
拼了命	32940
秦王	12318
肌肉	30390
方针	4483
如意算盘	11584
几层楼	36321
发令	18333
惊慌	3384
他放回	21575
沉浸于	17891
带回	5238
卖力	5046
再放	1923
喜好	16396
中榜	25479
巨石	37835
淝	44561
太极拳	22028
十分复杂	21281
一脚	995
盔甲	3417
陡坡	38460
若干条	41488
回味	12167
进退两难	17915
凤凰	370
陷阱	8235
打造出	15742
捏	10762
心计	18350
清晨	5157
怕老婆	32955
这状	19759
外海	38486
南极	16469
出身高贵	31381
讨生活	212
诞生	6146
圣经	16973
王如坚	39621
王八	12884
没人信	33983
罗家	18394
塞满	45275
城垒	37855
牛刀	40611
差额选举	34816
挖断	44843
围墙	12919
狂风	4539
复返	38724
扶手	22838
绝人	29950
实用价值	44433
洪	44706
正题	35457
牛羊肉	17522
采取措施	30172
送到	9523
桃花	26836
而仇	30832
挟持	2603
原生态	41499
科学家	16207
清算	21167
新式	3739
粗俗	37289
中宪	44487
闲暇	19640
辟谣	39664
和慈禧	36329
停不住	15788
引退	42771
十四	11455
求生存	33012
乡亲	26789
折现	12120
心满意足	17126
显出	20210
正等待	3330
十五丈	4695
调解	8318
威武	7093
战是	13835
走后	40636
吴国	3775
杨氏	28740
饱含	19138
争端	16651
最受	24234
荐福	12597
天才	2850
天下	359
洞庭湖	45702
课程	32602
土站	29783
拉进来	40873
谈不拢	2724
撑	4956
四十岁	10147
挖个	10600
性欲	43086
前无古人	15765
弓箭手	23592
霸业	1431
毛纪	28219
